id,season,weather_condition,temperature,activity,mood,formality_level
1,primavera,templado,17.4,cita_romantica,relajado,5
2,primavera,lluvia ligera,14.5,cita_romantica,romantico,3
3,primavera,lluvia ligera,24.0,evento_formal,creativo,5
4,otonio,lluvia,21.0,cita_romantica,creativo,3
5,primavera,templado,20.8,senderismo,relajado,1
6,verano,alta_humedad,27.7,cita_romantica,romantico,5
7,primavera,templado,21.1,deporte,energico,1
8,invierno,frio,5.4,casual_paseo,cansado,2
9,otonio,viento,9.0,deporte,formal,1
10,primavera,templado,14.4,viaje,creativo,1
11,primavera,lluvia ligera,19.4,comida_cena,relajado,3
12,invierno,frio,-4.0,relax_en_casa,creativo,1
13,invierno,lluvioso,1.4,trabajo_oficina,formal,2
14,primavera,templado,18.2,deporte,creativo,2
15,verano,caluroso,28.4,cita_romantica,romantico,4
16,invierno,lluvioso,8.0,deporte,formal,1
17,verano,soleado,31.5,deporte,romantico,2
18,invierno,frio,-3.7,comida_cena,formal,3
19,verano,soleado,27.1,relax_en_casa,romantico,2
20,invierno,lluvioso,2.5,cita_romantica,formal,3
21,otonio,fresco,20.7,evento_formal,romantico,5
22,invierno,lluvioso,10.2,deporte,relajado,2
23,otonio,fresco,21.5,fiesta_nocturna,formal,3
24,verano,alta_humedad,37.4,viaje,creativo,3
25,invierno,lluvioso,11.1,relax_en_casa,cansado,2
26,invierno,lluvioso,8.4,trabajo_oficina,creativo,2
27,verano,soleado,34.9,deporte,energico,2
28,otonio,fresco,18.7,relax_en_casa,formal,2
29,primavera,lluvia ligera,23.9,relax_en_casa,relajado,1
30,verano,alta_humedad,23.5,senderismo,energico,1
31,primavera,lluvia ligera,16.6,cita_romantica,energico,4
32,primavera,soleado,14.9,cita_romantica,creativo,5
33,otonio,lluvia,20.9,comida_cena,formal,2
34,otonio,viento,8.2,viaje,relajado,2
35,verano,caluroso,23.9,senderismo,relajado,1
36,verano,caluroso,31.1,cita_romantica,romantico,3
37,otonio,viento,8.7,fiesta_nocturna,energico,4
38,verano,caluroso,34.2,casual_paseo,creativo,2
39,verano,soleado,29.5,deporte,energico,1
40,invierno,lluvioso,7.1,fiesta_nocturna,romantico,5
41,invierno,frio,9.0,deporte,romantico,2
42,otonio,lluvia,13.3,cita_romantica,creativo,4
43,primavera,lluvia ligera,21.2,evento_formal,formal,4
44,invierno,frio,-2.5,senderismo,romantico,2
45,invierno,lluvioso,8.9,comida_cena,formal,2
46,otonio,viento,16.3,fiesta_nocturna,romantico,3
47,otonio,viento,16.3,trabajo_oficina,formal,2
48,verano,caluroso,28.8,viaje,romantico,2
49,verano,alta_humedad,22.8,senderismo,energico,1
50,invierno,lluvioso,3.8,gimnasio,romantico,1
51,primavera,soleado,16.4,gimnasio,cansado,2
52,verano,soleado,33.8,senderismo,cansado,1
53,otonio,lluvia,18.1,evento_formal,relajado,5
54,otonio,viento,9.6,evento_formal,energico,5
55,primavera,lluvia ligera,16.5,fiesta_nocturna,energico,5
56,verano,soleado,24.4,gimnasio,creativo,1
57,verano,soleado,34.3,evento_formal,cansado,4
58,verano,alta_humedad,33.5,viaje,creativo,3
59,primavera,lluvia ligera,14.0,trabajo_oficina,formal,4
60,verano,alta_humedad,24.3,cita_romantica,romantico,4
61,primavera,soleado,14.5,comida_cena,formal,4
62,primavera,lluvia ligera,18.5,viaje,energico,2
